"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Faculty",20,45,"Man","Engineering","Daily","Yes","Python,C,MATLAB,Rust,JavaScript,Bash","About half the time","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Always","Always","Always","Always",NA,"ChatGPT,A custom tool provided by organization,GitHub Copilot,Google Gemini,Claude,Claude Code,Perplexity","Most of the time","Claude Code","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",7,2,"Woman","Engineering","Monthly","Yes","MATLAB","Sometimes","Sometimes","Sometimes","Code testing,Code review",NA,"Sometimes",NA,"Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",8,5,"Woman","Life sciences","Weekly","Yes","Other","Sometimes","Sometimes","Never","Code testing,Code review",NA,"Most of the time",NA,"Never","Never","Never","A peer in your research group","ChatGPT,A custom tool provided by organization","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",5,7,"Woman","Mathematics and statistics","Daily","Yes","R,Other","Always","Always","About half the time","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Always","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Other (self-describe)",5,6,"Man","Physical sciences","Daily","Yes","Python","Always","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Sometimes","Most of the time","Most of the time","Sometimes","Never","Never","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","<1 line","Somewhat agree","Strongly agree","Neither agree nor disagree",NA,"Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree"
"Higher education","United States of America","Other (self-describe)",5,1,"Man","Physical sciences","Monthly","Yes","Python","Most of the time","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes",NA,"Through a web browser","I don't use genAI to produce code suggestions directly","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",4,5,"Woman","Engineering","Daily","Yes","Python,C,C++,MATLAB,Bash","Sometimes","Sometimes","Sometimes","Version control","Never",NA,NA,NA,NA,NA,NA,"ChatGPT","About half the time","ChatGPT","Through a web browser","10-50 lines","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree"
"Higher education","United States of America","Student research assistant",7,10,"Man","Engineering","Monthly","Yes","MATLAB","Never","About half the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",12,10,"Man","Life sciences","Monthly","Yes","Python,MATLAB,Bash","Most of the time","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",13,20,"Man","Other","Daily","Yes","R","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review","Most of the time","Sometimes",NA,"Never","Never","Never","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",13,6,"Man","Psychology","Daily","Yes","R","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Most of the time","Sometimes","Sometimes","A peer in your research group","ChatGPT,Google Gemini,Microsoft Copilot","Always","ChatGPT","Through a web browser","10-50 lines","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
"Private sector","United States of America","Faculty",15,10,"Man","Life sciences","Weekly","Yes","Stata","Sometimes","Sometimes","Never","Code testing,Code review",NA,"Most of the time",NA,"Most of the time","Most of the time","Never",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",1,1,"Man","Engineering","Less than once a month","Yes","Python","Never","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","I don't use genAI to produce code suggestions directly","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Research staff",5,3,"Non-binary / gender-diverse","Social sciences","Monthly","Yes","Python,R,Stata,JavaScript",NA,"Never","Never","Version control,Code testing,Code review,Continuous integration","Most of the time","Never","Never","Never","Never","Never",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",7,12,"Man","Physical sciences","Daily","Yes","Python,C++,FORTRAN,Bash","Always","Most of the time","About half the time","Version control,Code testing,Code review,Continuous integration","Most of the time","About half the time","Most of the time","Sometimes","Sometimes","About half the time",NA,"ChatGPT,GitHub Copilot,Google Gemini","Sometimes","ChatGPT","Through a web browser","5-10 lines","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree"
"Higher education","United States of America","Student research assistant",NA,NA,"Woman","Engineering","Daily","Yes","Python,MATLAB,Stata","Always","Always","Always","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Always","Always","Always","A supervisor","ChatGPT,A custom tool provided by organization,GitHub Copilot,Google Gemini,Perplexity,Microsoft Copilot","Sometimes","Perplexity","Through a web browser,With a mobile app","5-10 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"National laboratory","United States of America","Research staff",24,10,"Man","Life sciences","Daily","Yes","Python","Always","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Most of the time","Never","Never","Sometimes","Sometimes","Sometimes",NA,"ChatGPT,GitHub Copilot","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","10-50 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",8,1,"Man","Other","Less than once a month","Yes","C","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",2,3,"Man","Physical sciences","Weekly","Yes","Python,MATLAB","Never","Always","Never","Version control,Code testing,Code review","Never","Sometimes",NA,"Sometimes","Never","Sometimes","A peer in your research group","ChatGPT,Google Gemini","Sometimes","Google Gemini","Other (please write in)","1-5 lines","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",1,3,"Woman","Physical sciences","Weekly","Yes","R,Bash","About half the time","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",3,4,"Woman","Engineering","Weekly","Yes","Python","Sometimes","About half the time","Never","Code testing",NA,NA,NA,"Never","Most of the time","Never",NA,"ChatGPT,A custom tool provided by organization,Claude","Most of the time","A custom tool provided by organization","Through a web browser","10-50 lines","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Faculty",NA,25,NA,"Engineering","Daily","Yes","Python,C,C++","Sometimes","Always","About half the time","Version control,Code testing,Code review,Continuous integration","Always","About half the time","About half the time","Sometimes","Sometimes","Always",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",1,6,"Man","Engineering","Monthly","Yes","C,MATLAB","Sometimes","Sometimes","Sometimes","Code testing,Code review",NA,"Most of the time",NA,"Most of the time","Most of the time","Sometimes","A supervisor",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",7,2,"Woman","Life sciences","Weekly","Yes","R","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",10,4,"Man","Engineering","Monthly","Yes","Python,MATLAB,Julia,Other","Most of the time","Sometimes","Never","Version control","Most of the time",NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",20,2,"Woman","Life sciences","Weekly","Yes","R","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,10,"Woman","Engineering","Daily","Yes","Python,MATLAB","Never","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Never","Never","Sometimes","Never","Never","Never",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,10,"Man","Engineering","Daily","Yes","Python,FORTRAN","Most of the time","Sometimes","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"A custom tool provided by organization","Sometimes","A custom tool provided by organization","Through a web browser","5-10 lines","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",6,7,"Man","Mathematics and statistics","Daily","Yes","Python,R","Most of the time","Sometimes","Sometimes","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Sometimes","Sometimes","Sometimes","A supervisor","ChatGPT","About half the time","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree"
